Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,RoundNumber,EventName
0 days 02:37:13.300000,24,0 days 00:01:33.996000,56.0,,,0 days 00:00:30.183000,0 days 00:00:40.533000,0 days 00:00:23.280000,0 days 02:36:09.487000,0 days 02:36:50.020000,0 days 02:37:13.300000,239.0,268.0,282.0,292.0,True,SOFT,5.0,False,4,0 days 02:35:39.304000,Alfa Romeo,ZHO,1,True,1,Bahrain Grand Prix
0 days 02:24:11.139000,1,0 days 00:01:31.906000,50.0,,,0 days 00:00:33.543000,0 days 00:00:29.045000,0 days 00:00:29.318000,0 days 02:23:12.776000,0 days 02:23:41.821000,0 days 02:24:11.139000,292.0,310.0,299.0,316.0,True,HARD,32.0,True,2,0 days 02:22:39.233000,Red Bull Racing,VER,1,True,2,Saudi Arabian Grand Prix
0 days 02:36:53.578000,11,0 days 00:01:20.235000,53.0,,,0 days 00:00:28.044000,0 days 00:00:17.802000,0 days 00:00:34.389000,0 days 02:36:01.387000,0 days 02:36:19.189000,0 days 02:36:53.578000,278.0,304.0,294.0,297.0,True,HARD,46.0,False,4,0 days 02:35:33.343000,Red Bull Racing,PER,2,True,3,Australian Grand Prix
0 days 02:36:58.718000,63,0 days 00:01:43.370000,51.0,,,0 days 00:00:36.397000,0 days 00:00:41.715000,0 days 00:00:25.258000,0 days 02:35:51.745000,0 days 02:36:33.460000,0 days 02:36:58.718000,214.0,223.0,319.0,316.0,True,SOFT,2.0,True,3,0 days 02:35:15.348000,Mercedes,RUS,1,True,4,Azerbaijan Grand Prix
0 days 02:28:54.532000,1,0 days 00:01:29.708000,56.0,,,0 days 00:00:30.233000,0 days 00:00:34.098000,0 days 00:00:25.377000,0 days 02:27:55.057000,0 days 02:28:29.155000,0 days 02:28:54.532000,,191.0,280.0,324.0,True,MEDIUM,11.0,True,2,0 days 02:27:24.824000,Red Bull Racing,VER,1,True,5,Miami Grand Prix
0 days 01:45:31.908000,44,0 days 00:01:15.650000,33.0,,,0 days 00:00:19.760000,0 days 00:00:35.647000,0 days 00:00:20.243000,0 days 01:44:36.018000,0 days 01:45:11.665000,0 days 01:45:31.908000,209.0,193.0,258.0,280.0,True,HARD,2.0,True,2,0 days 01:44:16.258000,Mercedes,HAM,1,True,6,Monaco Grand Prix
0 days 02:23:44.568000,1,0 days 00:01:16.330000,61.0,,,0 days 00:00:22.706000,0 days 00:00:30.589000,0 days 00:00:23.035000,0 days 02:22:50.944000,0 days 02:23:21.533000,0 days 02:23:44.568000,283.0,285.0,286.0,307.0,True,SOFT,11.0,False,3,0 days 02:22:28.238000,Red Bull Racing,VER,1,True,7,Spanish Grand Prix
0 days 02:36:55.124000,11,0 days 00:01:14.481000,70.0,,,0 days 00:00:20.627000,0 days 00:00:23.762000,0 days 00:00:30.092000,0 days 02:36:01.270000,0 days 02:36:25.032000,0 days 02:36:55.124000,257.0,278.0,280.0,304.0,True,SOFT,2.0,True,3,0 days 02:35:40.643000,Red Bull Racing,PER,1,True,8,Canadian Grand Prix
0 days 02:27:21.083000,1,0 days 00:01:07.012000,71.0,,,0 days 00:00:17.040000,0 days 00:00:29.896000,0 days 00:00:20.076000,0 days 02:26:31.111000,0 days 02:27:01.007000,0 days 02:27:21.083000,304.0,244.0,278.0,302.0,True,SOFT,5.0,False,5,0 days 02:26:14.071000,Red Bull Racing,VER,1,True,9,Austrian Grand Prix
0 days 02:12:14.851000,1,0 days 00:01:30.275000,42.0,,,0 days 00:00:29.078000,0 days 00:00:36.353000,0 days 00:00:24.844000,0 days 02:11:13.654000,0 days 02:11:50.007000,0 days 02:12:14.851000,,264.0,250.0,293.0,True,SOFT,12.0,False,2,0 days 02:10:44.576000,Red Bull Racing,VER,1,True,10,British Grand Prix
