Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,RoundNumber,Race Type,EventName
0 days 00:47:06.249000,11,,1.0,0 days 00:13:33.428000,,,0 days 00:00:42.926000,0 days 00:00:25.208000,,0 days 00:46:41.092000,0 days 00:47:06.295000,195.0,216.0,326.0,321.0,False,MEDIUM,5.0,False,1,0 days 00:45:16.328000,Red Bull Racing,PER,2,False,2023-04-29 13:33:58.197,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:49:16.287000,11,0 days 00:02:10.038000,2.0,,,0 days 00:00:38.165000,0 days 00:00:57.443000,0 days 00:00:34.430000,0 days 00:47:44.414000,0 days 00:48:41.857000,0 days 00:49:16.287000,,114.0,264.0,273.0,False,MEDIUM,6.0,False,1,0 days 00:47:06.249000,Red Bull Racing,PER,26,False,2023-04-29 13:35:48.118,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:51:48.758000,11,,3.0,,,0 days 00:00:54.004000,0 days 00:01:00.007000,0 days 00:00:38.427000,0 days 00:50:10.324000,0 days 00:51:10.339000,0 days 00:51:48.761000,150.0,164.0,235.0,239.0,False,MEDIUM,7.0,False,1,0 days 00:49:16.287000,Red Bull Racing,PER,64,False,2023-04-29 13:37:58.156,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:54:39.425000,11,,4.0,,,0 days 00:01:01.476000,0 days 00:01:11.355000,0 days 00:00:37.873000,0 days 00:52:50.197000,0 days 00:54:01.587000,0 days 00:54:39.493000,111.0,159.0,276.0,176.0,False,MEDIUM,8.0,False,1,0 days 00:51:48.758000,Red Bull Racing,PER,4,False,2023-04-29 13:40:30.627,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:57:43.089000,11,,5.0,,,0 days 00:00:54.940000,0 days 00:01:00.829000,0 days 00:01:07.920000,0 days 00:55:34.430000,0 days 00:56:35.226000,0 days 00:57:43.225000,145.0,107.0,307.0,99.0,False,MEDIUM,9.0,False,1,0 days 00:54:39.425000,Red Bull Racing,PER,4,False,2023-04-29 13:43:21.294,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:59:28.343000,11,0 days 00:01:45.254000,6.0,,,0 days 00:00:38.019000,0 days 00:00:42.171000,0 days 00:00:25.064000,0 days 00:58:21.108000,0 days 00:59:03.279000,0 days 00:59:28.343000,206.0,217.0,329.0,322.0,False,MEDIUM,10.0,False,1,0 days 00:57:43.089000,Red Bull Racing,PER,1,False,2023-04-29 13:46:24.958,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:01:12.831000,11,0 days 00:01:44.488000,7.0,,,0 days 00:00:37.457000,0 days 00:00:42.184000,0 days 00:00:24.847000,0 days 01:00:05.800000,0 days 01:00:47.984000,0 days 01:01:12.831000,215.0,221.0,345.0,324.0,False,MEDIUM,11.0,False,1,0 days 00:59:28.343000,Red Bull Racing,PER,1,True,2023-04-29 13:48:10.212,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:02:57.503000,11,0 days 00:01:44.672000,8.0,,,0 days 00:00:37.464000,0 days 00:00:42,0 days 00:00:25.208000,0 days 01:01:50.295000,0 days 01:02:32.295000,0 days 01:02:57.503000,213.0,222.0,322.0,318.0,False,MEDIUM,12.0,False,1,0 days 01:01:12.831000,Red Bull Racing,PER,1,True,2023-04-29 13:49:54.700,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:04:41.435000,11,0 days 00:01:43.932000,9.0,,,0 days 00:00:37.109000,0 days 00:00:41.673000,0 days 00:00:25.150000,0 days 01:03:34.612000,0 days 01:04:16.285000,0 days 01:04:41.435000,215.0,230.0,321.0,317.0,False,MEDIUM,13.0,False,1,0 days 01:02:57.503000,Red Bull Racing,PER,1,True,2023-04-29 13:51:39.372,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:06:25.204000,11,0 days 00:01:43.769000,10.0,,,0 days 00:00:36.794000,0 days 00:00:41.743000,0 days 00:00:25.232000,0 days 01:05:18.229000,0 days 01:05:59.972000,0 days 01:06:25.204000,,222.0,322.0,318.0,False,MEDIUM,14.0,False,1,0 days 01:04:41.435000,Red Bull Racing,PER,1,True,2023-04-29 13:53:23.304,4,Sprint Race,Azerbaijan Grand Prix
